
2023/04/25 (22:38:23) | ===> btop++ v.1.2.13
2023/04/25 (22:38:23) | INFO: Logger set to DEBUG
2023/04/25 (22:38:23) | DEBUG: Using locale en_US.UTF-8
2023/04/25 (22:38:23) | INFO: Running on /dev/pts/0
2023/04/25 (22:38:24) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/07/20 (15:31:46) | ===> btop++ v.1.2.13
2023/07/20 (15:31:46) | INFO: Logger set to DEBUG
2023/07/20 (15:31:46) | DEBUG: Using locale en_US.UTF-8
2023/07/20 (15:31:46) | INFO: Running on /dev/pts/0
2023/07/20 (15:31:46) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/07/20 (22:07:06) | ===> btop++ v.1.2.13
2023/07/20 (22:07:06) | INFO: Logger set to DEBUG
2023/07/20 (22:07:06) | DEBUG: Using locale en_US.UTF-8
2023/07/20 (22:07:06) | INFO: Running on /dev/pts/0
2023/07/20 (22:07:06) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/07/20 (23:00:52) | ===> btop++ v.1.2.13
2023/07/20 (23:00:52) | INFO: Logger set to DEBUG
2023/07/20 (23:00:52) | DEBUG: Using locale en_US.UTF-8
2023/07/20 (23:00:52) | INFO: Running on /dev/pts/2
2023/07/20 (23:00:53) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/12/13 (23:11:48) | ===> btop++ v.1.2.13
2023/12/13 (23:11:48) | INFO: Logger set to DEBUG
2023/12/13 (23:11:48) | DEBUG: Using locale en_US.UTF-8
2023/12/13 (23:11:48) | INFO: Running on /dev/pts/0
2023/12/13 (23:11:48) | DEBUG: Loading theme file: /home/steven/.config/btop/themes/catppuccin_macchiato.theme

2023/12/15 (15:22:36) | ===> btop++ v.1.2.13
2023/12/15 (15:22:36) | INFO: Logger set to DEBUG
2023/12/15 (15:22:36) | DEBUG: Using locale en_US.UTF-8
2023/12/15 (15:22:36) | INFO: Running on /dev/pts/1
2023/12/15 (15:22:36) | DEBUG: Loading theme file: /home/steven/.config/btop/themes/catppuccin_macchiato.theme

2023/12/15 (15:30:52) | ===> btop++ v.1.2.13
2023/12/15 (15:30:52) | INFO: Logger set to DEBUG
2023/12/15 (15:30:52) | DEBUG: Using locale en_US.UTF-8
2023/12/15 (15:30:52) | INFO: Running on /dev/pts/1
2023/12/15 (15:30:52) | DEBUG: Loading theme file: /home/steven/.config/btop/themes/catppuccin_macchiato.theme
